station_code,station_name,region,lat,lon,annual_avg_rainfall_mm
S24,Changi,East,1.3678,103.9823,2010.1
S25,Seletar,North-Central,1.4114,103.8627,2549.3
S80,Sembawang,North,1.4247,103.8201,2543.0
S23,Tengah,West,1.3858,103.7119,2762.6
S06,Paya Lebar,Central-East,1.357,103.904,2479.6
S50,Clementi Road,West-Central,1.3318,103.7762,2599.9
S60,Sentosa,South,1.2504,103.8275,2084.2
S44,Nanyang Avenue (NTU),Far West,1.3458,103.6817,2713.1
S109,Ang Mo Kio Ave 5,Central-North,1.3793,103.85,2550.4
S104,Woodlands Ave 9,Far North,1.4439,103.7854,2360.0
S29,Pasir Ris Road,North-East,1.3865,103.9413,1670.2
S107,East Coast Park,South-East,1.3133,103.962,1820.0
S115,Tuas South Ave 3,Far South-West,1.2938,103.6184,2543.6
S31,Kampong Bahru Road,South-Central,1.2748,103.8282,2114.0
S43,Kim Chuan Road,Central-East,1.3406,103.8882,2425.3
S71,Kent Ridge Road (NUS),South-West,1.2923,103.7815,2533.1
S81,Punggol Central,North-East,1.4028,103.9095,2352.0
S84,Tampines Ave 5,East,1.3443,103.9441,2075.5
S88,Toa Payoh North,Central,1.3417,103.8515,2535.2
S40,Mandai Lake Road,North-Central,1.4067,103.7832,2677.0
